 ik      kx      ky      kz   gamma_raw  gamma_lowdin
  1   0.000   0.000   0.000      2.1146        2.1146
  2  -0.123  -0.073   0.056      0.2249        0.2249
  3  -0.246  -0.147   0.111      0.1755        0.1755
  4   0.370   0.220  -0.167      0.1358        0.1358
  5   0.246   0.147  -0.111      0.1755        0.1755
  6   0.123   0.073  -0.056      0.2249        0.2249
  7  -0.000   0.154  -0.000      0.2249        0.2249
  8  -0.123   0.080   0.055      0.2450        0.2450
  9  -0.246   0.007   0.111      0.1817        0.1817
 10   0.370   0.374  -0.167      0.1379        0.1379
 11   0.246   0.300  -0.111      0.1360        0.1360
 12   0.123   0.227  -0.056      0.1859        0.1859
 13  -0.000   0.307  -0.000      0.1755        0.1755
 14  -0.123   0.234   0.055      0.1817        0.1817
 15  -0.246   0.161   0.111      0.1524        0.1524
 16   0.370   0.527  -0.167      0.1383        0.1383
 17   0.246   0.454  -0.111      0.1220        0.1220
 18   0.123   0.381  -0.056      0.1360        0.1360
 19   0.000  -0.461   0.000      0.1358        0.1358
 20  -0.123  -0.535   0.056      0.1379        0.1379
 21  -0.246  -0.608   0.111      0.1383        0.1383
 22   0.370  -0.241  -0.166      0.1436        0.1436
 23   0.246  -0.315  -0.111      0.1383        0.1383
 24   0.123  -0.388  -0.055      0.1379        0.1379
 25   0.000  -0.307   0.000      0.1755        0.1755
 26  -0.123  -0.381   0.056      0.1360        0.1360
 27  -0.246  -0.454   0.111      0.1220        0.1220
 28   0.370  -0.087  -0.166      0.1383        0.1383
 29   0.246  -0.161  -0.111      0.1524        0.1524
 30   0.123  -0.234  -0.055      0.1817        0.1817
 31   0.000  -0.154   0.000      0.2249        0.2249
 32  -0.123  -0.227   0.056      0.1859        0.1859
 33  -0.246  -0.300   0.111      0.1360        0.1360
 34   0.370   0.066  -0.166      0.1379        0.1379
 35   0.246  -0.007  -0.111      0.1817        0.1817
 36   0.123  -0.080  -0.055      0.2450        0.2450
 37   0.135  -0.073  -0.000      0.2249        0.2249
 38   0.012  -0.147   0.055      0.2450        0.2450
 39  -0.111  -0.220   0.111      0.1817        0.1817
 40   0.505   0.147  -0.167      0.1379        0.1379
 41   0.382   0.073  -0.111      0.1360        0.1360
 42   0.258  -0.000  -0.056      0.1859        0.1859
 43   0.135   0.080  -0.000      0.2450        0.2450
 44   0.012   0.007   0.055      0.9835        0.9835
 45  -0.111  -0.066   0.111      0.2215        0.2215
 46   0.505   0.300  -0.167      0.1833        0.1833
 47   0.381   0.227  -0.111      0.1413        0.1413
 48   0.258   0.154  -0.056      0.1580        0.1580
 49   0.135   0.234  -0.000      0.1817        0.1817
 50   0.012   0.161   0.055      0.2215        0.2215
 51  -0.111   0.087   0.111      0.2649        0.2649
 52   0.505   0.454  -0.167      0.1747        0.1747
 53   0.381   0.381  -0.111      0.1431        0.1431
 54   0.258   0.307  -0.056      0.1383        0.1383
 55   0.135  -0.535   0.000      0.1379        0.1379
 56   0.012  -0.608   0.056      0.1833        0.1833
 57  -0.111  -0.681   0.111      0.1747        0.1747
 58   0.505  -0.315  -0.166      0.1608        0.1608
 59   0.382  -0.388  -0.111      0.1409        0.1409
 60   0.258  -0.461  -0.055      0.1220        0.1220
 61   0.135  -0.381   0.000      0.1360        0.1360
 62   0.012  -0.454   0.056      0.1413        0.1413
 63  -0.111  -0.527   0.111      0.1431        0.1431
 64   0.505  -0.161  -0.166      0.1409        0.1409
 65   0.382  -0.234  -0.111      0.1431        0.1431
 66   0.258  -0.307  -0.055      0.1383        0.1383
 67   0.135  -0.227  -0.000      0.1859        0.1859
 68   0.012  -0.300   0.056      0.1580        0.1580
 69  -0.111  -0.374   0.111      0.1383        0.1383
 70   0.505  -0.007  -0.167      0.1220        0.1220
 71   0.382  -0.080  -0.111      0.1383        0.1383
 72   0.258  -0.154  -0.056      0.1580        0.1580
 73   0.270  -0.147  -0.000      0.1755        0.1755
 74   0.147  -0.220   0.055      0.1817        0.1817
 75   0.024  -0.293   0.111      0.1524        0.1524
 76   0.640   0.073  -0.167      0.1383        0.1383
 77   0.517  -0.000  -0.111      0.1220        0.1220
 78   0.393  -0.073  -0.056      0.1360        0.1360
 79   0.270   0.007  -0.000      0.1817        0.1817
 80   0.147  -0.066   0.055      0.2215        0.2215
 81   0.024  -0.140   0.111      0.2649        0.2649
 82   0.640   0.227  -0.167      0.1747        0.1747
 83   0.517   0.154  -0.111      0.1431        0.1431
 84   0.393   0.080  -0.056      0.1383        0.1383
 85   0.270   0.161  -0.000      0.1524        0.1524
 86   0.147   0.087   0.055      0.2649        0.2649
 87   0.024   0.014   0.111      0.4846        0.4846
 88   0.640   0.381  -0.167      0.2216        0.2216
 89   0.517   0.307  -0.111      0.1778        0.1778
 90   0.393   0.234  -0.056      0.1431        0.1431
 91   0.270  -0.608   0.000      0.1383        0.1383
 92   0.147  -0.681   0.056      0.1747        0.1747
 93   0.024  -0.755   0.111      0.2216        0.2216
 94   0.640  -0.388  -0.166      0.2481        0.2481
 95   0.517  -0.461  -0.111      0.1716        0.1716
 96   0.394  -0.535  -0.055      0.1409        0.1409
 97   0.270  -0.454  -0.000      0.1220        0.1220
 98   0.147  -0.527   0.056      0.1431        0.1431
 99   0.024  -0.601   0.111      0.1778        0.1778
100   0.640  -0.234  -0.167      0.1716        0.1716
101   0.517  -0.307  -0.111      0.1778        0.1778
102   0.394  -0.381  -0.056      0.1431        0.1431
103   0.270  -0.300  -0.000      0.1360        0.1360
104   0.147  -0.374   0.055      0.1383        0.1383
105   0.024  -0.447   0.111      0.1431        0.1431
106   0.640  -0.080  -0.167      0.1409        0.1409
107   0.517  -0.154  -0.111      0.1431        0.1431
108   0.393  -0.227  -0.056      0.1413        0.1413
109  -0.405   0.220   0.000      0.1358        0.1358
110  -0.529   0.147   0.056      0.1379        0.1379
111  -0.652   0.073   0.111      0.1383        0.1383
112  -0.036   0.440  -0.166      0.1436        0.1436
113  -0.159   0.367  -0.111      0.1383        0.1383
114  -0.282   0.293  -0.055      0.1379        0.1379
115  -0.405   0.374   0.000      0.1379        0.1379
116  -0.529   0.300   0.056      0.1833        0.1833
117  -0.652   0.227   0.111      0.1747        0.1747
118  -0.036   0.594  -0.166      0.1608        0.1608
