 ik      kx      ky      kz   gamma_raw  gamma_lowdin
  1   0.000   0.000   0.000      2.1116        2.1116
  2  -0.000  -0.000   0.145      0.3162        0.3162
  3  -0.000  -0.000   0.290      0.2647        0.2647
  4   0.000   0.000  -0.435      0.1849        0.1849
  5   0.000   0.000  -0.290      0.2647        0.2647
  6   0.000   0.000  -0.145      0.3162        0.3162
  7  -0.000   0.127  -0.069      0.3162        0.3162
  8  -0.000   0.127   0.076      0.3834        0.3834
  9  -0.000   0.127   0.221      0.2757        0.2757
 10   0.000   0.127  -0.504      0.1976        0.1976
 11   0.000   0.127  -0.359      0.1948        0.1948
 12  -0.000   0.127  -0.214      0.2899        0.2899
 13  -0.000   0.255  -0.138      0.2647        0.2647
 14  -0.000   0.255   0.007      0.2757        0.2757
 15  -0.001   0.255   0.151      0.1951        0.1951
 16   0.000   0.255  -0.573      0.2098        0.2098
 17  -0.000   0.255  -0.428      0.1826        0.1826
 18  -0.000   0.255  -0.283      0.1948        0.1948
 19   0.000  -0.382   0.207      0.1849        0.1849
 20   0.000  -0.382   0.352      0.1976        0.1976
 21   0.000  -0.382   0.497      0.2098        0.2098
 22   0.001  -0.382  -0.227      0.1913        0.1913
 23   0.001  -0.382  -0.082      0.2098        0.2098
 24   0.001  -0.382   0.063      0.1976        0.1976
 25   0.000  -0.255   0.138      0.2647        0.2647
 26   0.000  -0.255   0.283      0.1948        0.1948
 27   0.000  -0.255   0.428      0.1826        0.1826
 28   0.001  -0.255  -0.296      0.2098        0.2098
 29   0.001  -0.255  -0.151      0.1951        0.1951
 30   0.000  -0.255  -0.007      0.2757        0.2757
 31   0.000  -0.127   0.069      0.3162        0.3162
 32   0.000  -0.127   0.214      0.2899        0.2899
 33  -0.000  -0.127   0.359      0.1948        0.1948
 34   0.001  -0.127  -0.365      0.1976        0.1976
 35   0.000  -0.127  -0.221      0.2757        0.2757
 36   0.000  -0.127  -0.076      0.3834        0.3834
 37   0.052  -0.116  -0.069      0.3162        0.3162
 38   0.052  -0.116   0.076      0.3834        0.3834
 39   0.052  -0.116   0.221      0.2757        0.2757
 40   0.052  -0.116  -0.504      0.1976        0.1976
 41   0.052  -0.116  -0.359      0.1948        0.1948
 42   0.052  -0.116  -0.214      0.2899        0.2899
 43   0.052   0.011  -0.138      0.3834        0.3834
 44   0.052   0.011   0.007      1.8295        1.8295
 45   0.052   0.011   0.151      0.2765        0.2765
 46   0.052   0.011  -0.573      0.3041        0.3041
 47   0.052   0.011  -0.428      0.1860        0.1860
 48   0.052   0.011  -0.283      0.2110        0.2110
 49   0.052   0.138  -0.207      0.2757        0.2757
 50   0.052   0.138  -0.063      0.2765        0.2765
 51   0.051   0.138   0.082      0.4021        0.4021
 52   0.052   0.138  -0.642      0.2494        0.2494
 53   0.052   0.138  -0.497      0.2180        0.2180
 54   0.052   0.138  -0.352      0.2080        0.2080
 55   0.052  -0.498   0.138      0.1976        0.1976
 56   0.052  -0.498   0.283      0.3041        0.3041
