 ik      kx      ky      kz   gamma_raw  gamma_lowdin
  1   0.000   0.000   0.000      2.7782        2.7782
  2   0.000   0.000   0.127      0.4181        0.4181
  3   0.000   0.000  -0.254      0.2453        0.2453
  4   0.000   0.000  -0.127      0.4181        0.4181
  5   0.000   0.127   0.000      0.4181        0.4181
  6   0.000   0.127   0.127      0.2830        0.2830
  7   0.000   0.127  -0.254      0.2155        0.2155
  8   0.000   0.127  -0.127      0.2830        0.2830
  9   0.000  -0.254   0.000      0.2453        0.2453
 10   0.000  -0.254   0.127      0.2155        0.2155
 11   0.000  -0.254  -0.254      0.1892        0.1892
 12   0.000  -0.254  -0.127      0.2155        0.2155
 13   0.000  -0.127   0.000      0.4181        0.4181
 14   0.000  -0.127   0.127      0.2830        0.2830
 15   0.000  -0.127  -0.254      0.2155        0.2155
 16   0.000  -0.127  -0.127      0.2830        0.2830
 17   0.127   0.000   0.000      0.4181        0.4181
 18   0.127   0.000   0.127      0.2830        0.2830
 19   0.127   0.000  -0.254      0.2155        0.2155
 20   0.127   0.000  -0.127      0.2830        0.2830
 21   0.127   0.127   0.000      0.2830        0.2830
 22   0.127   0.127   0.127      0.2340        0.2340
 23   0.127   0.127  -0.254      0.2016        0.2016
 24   0.127   0.127  -0.127      0.2340        0.2340
 25   0.127  -0.254   0.000      0.2155        0.2155
 26   0.127  -0.254   0.127      0.2016        0.2016
 27   0.127  -0.254  -0.254      0.1858        0.1858
 28   0.127  -0.254  -0.127      0.2016        0.2016
 29   0.127  -0.127   0.000      0.2830        0.2830
 30   0.127  -0.127   0.127      0.2340        0.2340
 31   0.127  -0.127  -0.254      0.2016        0.2016
 32   0.127  -0.127  -0.127      0.2340        0.2340
 33  -0.254   0.000   0.000      0.2453        0.2453
 34  -0.254   0.000   0.127      0.2155        0.2155
 35  -0.254   0.000  -0.254      0.1892        0.1892
 36  -0.254   0.000  -0.127      0.2155        0.2155
 37  -0.254   0.127   0.000      0.2155        0.2155
 38  -0.254   0.127   0.127      0.2016        0.2016
 39  -0.254   0.127  -0.254      0.1858        0.1858
 40  -0.254   0.127  -0.127      0.2016        0.2016
 41  -0.254  -0.254   0.000      0.1892        0.1892
 42  -0.254  -0.254   0.127      0.1858        0.1858
 43  -0.254  -0.254  -0.254      0.1681        0.1681
 44  -0.254  -0.254  -0.127      0.1858        0.1858
 45  -0.254  -0.127   0.000      0.2155        0.2155
 46  -0.254  -0.127   0.127      0.2016        0.2016
 47  -0.254  -0.127  -0.254      0.1858        0.1858
 48  -0.254  -0.127  -0.127      0.2016        0.2016
 49  -0.127   0.000   0.000      0.4181        0.4181
 50  -0.127   0.000   0.127      0.2830        0.2830
 51  -0.127   0.000  -0.254      0.2155        0.2155
 52  -0.127   0.000  -0.127      0.2830        0.2830
 53  -0.127   0.127   0.000      0.2830        0.2830
 54  -0.127   0.127   0.127      0.2340        0.2340
 55  -0.127   0.127  -0.254      0.2016        0.2016
 56  -0.127   0.127  -0.127      0.2340        0.2340
 57  -0.127  -0.254   0.000      0.2155        0.2155
 58  -0.127  -0.254   0.127      0.2016        0.2016
 59  -0.127  -0.254  -0.254      0.1858        0.1858
 60  -0.127  -0.254  -0.127      0.2016        0.2016
 61  -0.127  -0.127   0.000      0.2830        0.2830
 62  -0.127  -0.127   0.127      0.2340        0.2340
 63  -0.127  -0.127  -0.254      0.2016        0.2016
 64  -0.127  -0.127  -0.127      0.2340        0.2340
------------------------------------------------
max gamma (raw)    = 2.7782
max gamma (lowdin) = 2.7782   <-- reported spillage
JARVIS (VASP) reference for Ba3BiSb = 2.267
