 ik      kx      ky      kz   gamma_raw  gamma_lowdin
  1   0.000   0.000   0.000      2.0159        2.0159
  2   0.000   0.000   0.128      0.2623        0.2623
  3   0.000   0.000  -0.257      0.1612        0.1612
  4   0.000   0.000  -0.128      0.2623        0.2623
  5   0.000   0.128   0.000      0.2623        0.2623
  6   0.000   0.128   0.128      0.1928        0.1928
  7   0.000   0.128  -0.257      0.1480        0.1480
  8   0.000   0.128  -0.128      0.1928        0.1928
  9   0.000  -0.257   0.000      0.1612        0.1612
 10   0.000  -0.257   0.128      0.1480        0.1480
 11   0.000  -0.257  -0.257      0.1311        0.1311
 12   0.000  -0.257  -0.128      0.1480        0.1480
 13   0.000  -0.128   0.000      0.2623        0.2623
 14   0.000  -0.128   0.128      0.1928        0.1928
 15   0.000  -0.128  -0.257      0.1480        0.1480
 16   0.000  -0.128  -0.128      0.1928        0.1928
 17   0.128   0.000   0.000      0.2623        0.2623
 18   0.128   0.000   0.128      0.1928        0.1928
 19   0.128   0.000  -0.257      0.1480        0.1480
 20   0.128   0.000  -0.128      0.1928        0.1928
 21   0.128   0.128   0.000      0.1928        0.1928
 22   0.128   0.128   0.128      0.1602        0.1602
 23   0.128   0.128  -0.257      0.1385        0.1385
 24   0.128   0.128  -0.128      0.1602        0.1602
 25   0.128  -0.257   0.000      0.1480        0.1480
 26   0.128  -0.257   0.128      0.1385        0.1385
 27   0.128  -0.257  -0.257      0.1282        0.1282
 28   0.128  -0.257  -0.128      0.1385        0.1385
 29   0.128  -0.128   0.000      0.1928        0.1928
 30   0.128  -0.128   0.128      0.1602        0.1602
 31   0.128  -0.128  -0.257      0.1385        0.1385
 32   0.128  -0.128  -0.128      0.1602        0.1602
 33  -0.257   0.000   0.000      0.1612        0.1612
 34  -0.257   0.000   0.128      0.1480        0.1480
 35  -0.257   0.000  -0.257      0.1311        0.1311
 36  -0.257   0.000  -0.128      0.1480        0.1480
 37  -0.257   0.128   0.000      0.1480        0.1480
 38  -0.257   0.128   0.128      0.1385        0.1385
 39  -0.257   0.128  -0.257      0.1282        0.1282
 40  -0.257   0.128  -0.128      0.1385        0.1385
 41  -0.257  -0.257   0.000      0.1311        0.1311
 42  -0.257  -0.257   0.128      0.1282        0.1282
 43  -0.257  -0.257  -0.257      0.1169        0.1169
 44  -0.257  -0.257  -0.128      0.1282        0.1282
 45  -0.257  -0.128   0.000      0.1480        0.1480
 46  -0.257  -0.128   0.128      0.1385        0.1385
 47  -0.257  -0.128  -0.257      0.1282        0.1282
 48  -0.257  -0.128  -0.128      0.1385        0.1385
 49  -0.128   0.000   0.000      0.2623        0.2623
 50  -0.128   0.000   0.128      0.1928        0.1928
 51  -0.128   0.000  -0.257      0.1480        0.1480
 52  -0.128   0.000  -0.128      0.1928        0.1928
 53  -0.128   0.128   0.000      0.1928        0.1928
 54  -0.128   0.128   0.128      0.1602        0.1602
 55  -0.128   0.128  -0.257      0.1385        0.1385
 56  -0.128   0.128  -0.128      0.1602        0.1602
 57  -0.128  -0.257   0.000      0.1480        0.1480
 58  -0.128  -0.257   0.128      0.1385        0.1385
 59  -0.128  -0.257  -0.257      0.1282        0.1282
 60  -0.128  -0.257  -0.128      0.1385        0.1385
 61  -0.128  -0.128   0.000      0.1928        0.1928
 62  -0.128  -0.128   0.128      0.1602        0.1602
 63  -0.128  -0.128  -0.257      0.1385        0.1385
 64  -0.128  -0.128  -0.128      0.1602        0.1602
------------------------------------------------
max gamma (raw)    = 2.0159
max gamma (lowdin) = 2.0159   <-- reported spillage
JARVIS (VASP) reference for Ba3BiSb = 2.267
