 ik      kx      ky      kz   gamma_raw  gamma_lowdin
  1   0.000   0.000   0.000      2.0941        2.0941
  2   0.000   0.000   0.100      0.2226        0.2226
  3   0.000   0.000  -0.200      0.1767        0.1767
  4   0.000   0.000  -0.100      0.2226        0.2226
  5   0.113   0.065   0.000      0.2013        0.2013
  6   0.113   0.065   0.100      0.1923        0.1923
  7   0.113   0.065  -0.200      0.1828        0.1828
  8   0.113   0.065  -0.100      0.1855        0.1855
  9   0.226   0.130   0.000      0.1463        0.1463
 10   0.226   0.130   0.100      0.1363        0.1363
 11   0.226   0.130  -0.200      0.1459        0.1459
 12   0.226   0.130  -0.100      0.1458        0.1458
 13  -0.339  -0.196   0.000      0.1376        0.1376
 14  -0.339  -0.196   0.100      0.1428        0.1428
 15  -0.339  -0.196  -0.200      0.1145        0.1145
 16  -0.339  -0.196  -0.100      0.1428        0.1428
 17  -0.226  -0.130   0.000      0.1463        0.1463
 18  -0.226  -0.130   0.100      0.1458        0.1458
 19  -0.226  -0.130  -0.200      0.1459        0.1459
 20  -0.226  -0.130  -0.100      0.1363        0.1363
 21  -0.113  -0.065   0.000      0.2013        0.2013
 22  -0.113  -0.065   0.100      0.1855        0.1855
 23  -0.113  -0.065  -0.200      0.1828        0.1828
 24  -0.113  -0.065  -0.100      0.1923        0.1923
 25   0.113  -0.065   0.000      0.2013        0.2013
 26   0.113  -0.065   0.100      0.1855        0.1855
 27   0.113  -0.065  -0.200      0.1828        0.1828
 28   0.113  -0.065  -0.100      0.1923        0.1923
 29   0.226   0.000   0.000      0.1484        0.1484
 30   0.226   0.000   0.100      0.1446        0.1446
 31   0.226   0.000  -0.200      0.1424        0.1424
 32   0.226   0.000  -0.100      0.1446        0.1446
 33   0.339   0.065   0.000      0.1271        0.1271
 34   0.339   0.065   0.100      0.1278        0.1278
 35   0.339   0.065  -0.200      0.1246        0.1246
 36   0.339   0.065  -0.100      0.1251        0.1251
 37  -0.226  -0.261   0.000      0.1271        0.1271
 38  -0.226  -0.261   0.100      0.1251        0.1251
