 ik      kx      ky      kz   gamma_raw  gamma_lowdin
  1   0.000   0.000   0.000      0.0219        0.0219
  2  -0.069  -0.049   0.120      0.0258        0.0258
  3  -0.138  -0.098   0.240      0.0550        0.0550
  4   0.207   0.147  -0.359      2.0103        2.0103
  5   0.138   0.098  -0.240      0.0550        0.0550
  6   0.069   0.049  -0.120      0.0258        0.0258
  7   0.000   0.147   0.000      0.0258        0.0258
  8  -0.069   0.098   0.120      0.0630        0.0630
  9  -0.138   0.049   0.240      0.0821        0.0821
 10   0.207   0.293  -0.359      0.0771        0.0771
 11   0.138   0.244  -0.240      0.0902        0.0902
 12   0.069   0.196  -0.120      0.0405        0.0405
 13   0.000   0.293   0.000      0.0550        0.0550
 14  -0.069   0.244   0.120      0.0821        0.0821
 15  -0.138   0.196   0.240      0.0454        0.0454
 16   0.207   0.440  -0.359      0.0392        0.0392
 17   0.138   0.391  -0.240      0.0464        0.0464
 18   0.069   0.342  -0.120      0.0902        0.0902
 19   0.000  -0.440   0.000      2.0103        2.0103
 20  -0.069  -0.489   0.120      0.0771        0.0771
 21  -0.138  -0.538   0.240      0.0392        0.0392
 22   0.207  -0.293  -0.359      0.0332        0.0332
 23   0.138  -0.342  -0.240      0.0392        0.0392
 24   0.069  -0.391  -0.120      0.0771        0.0771
 25   0.000  -0.293   0.000      0.0550        0.0550
 26  -0.069  -0.342   0.120      0.0902        0.0902
 27  -0.138  -0.391   0.240      0.0464        0.0464
 28   0.207  -0.147  -0.359      0.0392        0.0392
 29   0.138  -0.196  -0.240      0.0454        0.0454
 30   0.069  -0.244  -0.120      0.0821        0.0821
 31   0.000  -0.147   0.000      0.0258        0.0258
 32  -0.069  -0.196   0.120      0.0405        0.0405
 33  -0.138  -0.244   0.240      0.0902        0.0902
 34   0.207   0.000  -0.359      0.0771        0.0771
 35   0.138  -0.049  -0.240      0.0821        0.0821
 36   0.069  -0.098  -0.120      0.0630        0.0630
 37   0.138  -0.049   0.000      0.0258        0.0258
 38   0.069  -0.098   0.120      0.0630        0.0630
 39   0.000  -0.147   0.240      0.0821        0.0821
 40   0.346   0.098  -0.359      0.0771        0.0771
 41   0.277   0.049  -0.240      0.0902        0.0902
 42   0.207   0.000  -0.120      0.0405        0.0405
 43   0.138   0.098   0.000      0.0630        0.0630
 44   0.069   0.049   0.120      0.0258        0.0258
 45   0.000   0.000   0.240      0.0405        0.0405
 46   0.346   0.244  -0.359      0.0902        0.0902
 47   0.277   0.196  -0.240      0.0771        0.0771
 48   0.207   0.147  -0.120      0.0821        0.0821
 49   0.138   0.244   0.000      0.0821        0.0821
 50   0.069   0.196   0.120      0.0405        0.0405
 51   0.000   0.147   0.240      0.0821        0.0821
